tree.number,REPLCT,TRT,day,diameter
6.2,6,2,63,31.85
6.2,6,2,69,31.85
6.2,6,2,73,31.85
6.2,6,2,79,31.84
6.3,6,3,0,31.38
6.3,6,3,14,31.49
6.3,6,3,28,31.53
6.3,6,3,32,31.61
6.3,6,3,42,31.63
6.3,6,3,45,31.63
6.3,6,3,50,31.64
6.3,6,3,53,31.65
6.3,6,3,57,31.69
6.3,6,3,60,31.7
6.3,6,3,63,31.71
6.3,6,3,69,31.72
6.3,6,3,73,31.71
6.3,6,3,79,31.71
6.4,6,4,0,29.43
6.4,6,4,14,29.5
6.4,6,4,28,29.53
6.4,6,4,32,29.59
6.4,6,4,42,29.6
6.4,6,4,45,29.61
6.4,6,4,50,29.61
6.4,6,4,53,29.61
6.4,6,4,57,29.62
6.4,6,4,60,29.65
6.4,6,4,63,29.65
6.4,6,4,69,29.66
6.4,6,4,73,29.65
6.4,6,4,79,29.65
6.6,6,6,0,29.57
6.6,6,6,14,29.62
6.6,6,6,28,29.62
6.6,6,6,32,29.73
6.6,6,6,42,29.74
6.6,6,6,45,29.74
6.6,6,6,50,29.75
6.6,6,6,53,29.74
6.6,6,6,57,29.76
6.6,6,6,60,29.77
6.6,6,6,63,29.78
6.6,6,6,69,29.78
6.6,6,6,73,29.77
6.6,6,6,79,29.76
6.7,6,7,0,28.38
6.7,6,7,14,28.43
6.7,6,7,28,28.49
6.7,6,7,32,28.56
6.7,6,7,42,28.56
6.7,6,7,45,28.57
6.7,6,7,50,28.57
6.7,6,7,53,28.57
6.7,6,7,57,28.62
6.7,6,7,60,28.64
6.7,6,7,63,28.65
6.7,6,7,69,28.66
6.7,6,7,73,28.66
6.7,6,7,79,28.65
